country,year_month,sunshine_hours,daylight_hours,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,retail_index,unemployment_rate,inflation_yoy,CCI,covid_dummy,month_num,month_sin,month_cos
Germany,2015-01,90.45569789158128,260.5061572186698,2.4972819124682446,11.886582903298182,-4.18838905093112,89.43171415750504,73.21575050482387,191.6312542068656,84.5,4.5,-0.5,99.64577,0,1,0.49999999999999994,0.8660254037844387
Germany,2015-02,170.67634730511304,278.97864240925634,1.2109041956472966,9.801222795602422,-7.359389724029617,18.682140453219656,12.722862912272829,53.18712138209558,84.5,4.5,-0.2,99.73933,0,2,0.8660254037844386,0.5000000000000001
Germany,2015-03,241.15137636582898,368.3556116580036,5.518422271598862,15.600931119587164,-2.3879964101413504,56.812194301099396,53.4755104330267,124.64056540273727,84.3,4.5,0.3,99.83885,0,3,1.0,6.123233995736766e-17
Germany,2015-04,324.71901380755617,416.58630753714505,8.589732630319347,20.83270136863361,-2.643773838905093,37.266490913170294,36.50068431680502,91.62788871438187,84.9,4.4,1.0,99.92391,0,4,0.8660254037844387,-0.49999999999999983
Germany,2015-05,335.578941529554,484.9180200792138,12.899274066890067,25.144043078303792,3.356113978012116,66.30668611173435,66.30668611173435,109.13596589634282,86.0,4.4,1.6,99.97682,0,5,0.49999999999999994,-0.8660254037844387
Germany,2015-06,334.15271455108063,497.58462900244314,16.435992820282703,29.146174556876822,7.854307830379179,54.35132376037693,54.35132376037693,95.4810410590083,85.4,4.4,1.1,99.99178,0,6,1.2246467991473532e-16,-1.0
Germany,2015-07,372.77475867112906,500.1763394865755,19.90352110127599,35.01238501234014,9.795658514695983,70.79091317029393,70.79091317029393,106.08368857976217,86.6,4.3,1.3,99.96956,0,7,-0.4999999999999998,-0.8660254037844388
Germany,2015-08,353.1401153120559,452.1316915382794,21.154218083912948,34.002827013686336,9.45541844289881,64.8836212699125,64.8836212699125,99.36459501907112,86.1,4.3,1.1,99.91476,0,8,-0.8660254037844384,-0.5000000000000004
Germany,2015-09,269.9475824427243,379.7790963409617,14.150096103507591,25.739118240969262,6.11452770922145,56.83574153017725,56.83574153017725,112.11689477226834,86.7,4.3,0.8,99.83842,0,9,-1.0,-1.8369701987210297e-16
Germany,2015-10,163.90768506032958,330.8463101965074,9.181979778094625,19.726879066636748,1.062396230648418,60.15503702041732,60.12079874354948,108.44738613417097,86.5,4.2,1.2,99.75675,0,10,-0.8660254037844386,0.5000000000000001
Germany,2015-11,130.5594519370279,266.3430768522673,7.736120708997083,16.986066861117344,-2.6899708323984743,91.8197554408795,87.19411038815346,169.30367960511555,86.2,4.2,0.2,99.67672,0,11,-0.5000000000000004,0.8660254037844384
Germany,2015-12,122.58407100784035,244.713432453631,6.801220986197863,13.567769800314114,-1.2792797846084811,39.82123625757236,39.82123625757236,82.87659860892977,88.7,4.2,0.2,99.59998,0,12,-2.4492935982947064e-16,1.0
Germany,2016-01,107.95264913151598,260.23570691639867,0.9053391909790326,11.043897240296163,-10.6906551492035,67.91231770249047,51.85793134395333,164.4838456360781,87.3,4.1,0.4,99.53175,0,1,0.49999999999999994,0.8660254037844387
Germany,2016-02,144.16691833539002,289.4086407685787,3.669449838688464,12.679100291676017,-3.888568543863585,78.96529055418442,70.89574826116221,166.6818487772044,87.0,4.1,-0.1,99.47958,0,2,0.8660254037844386,0.5000000000000001
Germany,2016-03,202.14727164416774,369.9409028712637,4.321107789848517,15.3375925510433,-3.9309737491586274,41.47162889836213,37.34925959165358,113.6274399820507,86.4,4.0,0.1,99.45615,0,3,1.0,6.123233995736766e-17
