model,target,RMSE,R²
Linear Regression,CCI,2.3614715827926576,0.020852602696099586
Linear Regression,Retail,14.889795265056643,0.13510043175591807
Logistic Regression,CCI direction,,0.4691272791297815
Decision Tree,CCI,2.326033431795402,0.04621098455179371
Random Forest,CCI,1.9682123019510798,0.32446008037264795
Random Forest (Tuned),CCI,1.9226402282016548,0.35909404334319817
Random Forest,Retail,5.51033339852075,0.870814257006432
Gradient Boosting,CCI,1.987648802039066,0.3124143406799516
KNN Regression,CCI,2.22028809160782,0.10793800845305435
